,Case,Structure,NumPts,Size,AvgDiff,StdDiff,XCorrGrad,XCorrDist
0,DLDP_081,Eye_R,404,866,4272.0586,1846.1382,0.31348556848691145,-0.7435784903357598
1,DLDP_081,LacrimalGland_R,152,67,927.9551,630.62317,-0.23754477973369023,-0.04816371827113006
2,DLDP_081,Cochlea_R,56,9,424.89926,135.5715,0.23220452797856908,-0.17919287805634554
3,DLDP_081,Hippocampus_L,282,219,23068.883,5751.364,0.5336641005444939,-0.29096952192177294
4,DLDP_081,Pituitary,137,84,16722.508,5829.848,0.9288871627344253,-0.884016145915284
5,DLDP_081,LacrimalGland_L,145,70,2018.6918,1405.0181,0.30356889262586007,0.7450130513945271
6,DLDP_081,Eye_L,392,809,4882.9556,2128.4482,0.25406004492768813,-0.700168133436288
7,DLDP_081,Chiasm,128,45,4489.2124,2782.4182,-0.46229612767601325,-0.8986843693179549
8,DLDP_081,Hippocampus_R,304,243,18189.22,5136.5537,0.7462423108353732,-0.6377054726012199
9,DLDP_081,Cochlea_L,49,8,92.88036,22.723251,0.24821743721463024,-0.0366810039586795
10,DLDP_081,OpticNerve_R,207,107,344.16562,254.18059,-0.16148257329262633,0.18988320373382211
11,DLDP_081,BrainStem,978,2425,1036.6368,601.8742,0.22006960231960118,-0.538140258810219
12,DLDP_081,OpticNerve_L,138,44,3475.0508,903.8161,0.536841167253972,-0.3678738959448407
13,DLDP_082,Eye_R,359,654,1191.9716,520.4506,-0.039540066606173804,-0.7930461221354085
14,DLDP_082,LacrimalGland_R,164,99,245.05817,145.83627,-0.17315011767969424,-0.2685561643257373
15,DLDP_082,Cochlea_R,49,8,299.70395,57.33936,0.033649286484376,-0.08711439955209092
16,DLDP_082,Hippocampus_L,239,157,13381.205,3989.8254,0.43724271926832875,-0.5119108504771365
17,DLDP_082,Pituitary,92,34,6163.841,1546.4229,0.17432685169441015,-0.4672271562542387
18,DLDP_082,LacrimalGland_L,190,126,1185.9628,983.4966,0.4835558519128834,0.15513011622754921
19,DLDP_082,Eye_L,369,697,1481.756,812.62415,-0.20012619118836458,-0.7605019796153553
20,DLDP_082,Chiasm,177,70,2186.1492,1399.0066,0.9601356292226167,-0.8803284506287341
